[ID],INSTITUTION,MEDSCHL,City,STATE,INSTTYPE, Tot Res Exp , Ind Res Exp , Fed Res Exp , Gross Lic Inc , Leg Fees , Lic Inc Equ , Lic Inc Other , Lic Inc Pd Oth , Lic Inc Run Roy , Reimb Leg Fee , Iss US Pat , Tot Pat App Fld , Util Pat App Fld , New Pat App Fld , For. Pat App Fld , New Prod , Act Lic , Cum Op St-Ups , Excl Lic/Opt. , Inv Dis Rec , Lic $1mm+ , Lic Gen Inc , Lic Gen Run Roy , Lic Iss , Lic w Equ , NEWCOMPSUPP , Non-Excl Lic/Opt , Opt Iss , Pro Pat App Fld , St-Ups Cld , St-Ups Formed , St-Ups in Home St , St-Ups w Equ , Tot Discl Lic , Tot Lic Lg Co , Tot Lic Sm Co , Tot Lic St-Ups , Tot Lic/Opt Exe , Lic FTEs , Oth FTEs , AirQualityIndex , Airports , Bike Score , Crime Rate , Transit Score , Median Age , Total Population , Female Population , Male Population , Foreign-born , Number of Veterans ,WalkScore
71847,Michigan Technological University,No,Houghton,MI,5U,69606717,9050734,28692083,237061,46406, -   ,237061, -   , -   ,51152,4.8,13.8,2,10.5,1.3,2.3,38.2,20.2,1.3,45, -   ,23.8,3.6,10,0.2,30.5,8.7,3.2,7.2,0.2,2,1.2,0.3,11.7,8,2.7,2.5,13.2,3,1.3,28,1,51,13.2,,,,,,,,
71869,Mississippi State University,No,Starkville,MS,5U,226359000,10854000,80097000,230248,149314, -   ,52976,5050,177272,18785,6.7,30.3,0.7,14.2, -   ,1.5,55.5,19.8,5,37.3, -   ,24,13,7.2,1.3,31.5,2.2,3.7,13.3,0.8,2.2,2,2.8,15.5,0.8,7.5,2.5,10.8,2,2,36,1,33,34.8,,,,,,,,29
71881,Montana State University,No,Bozeman,MT,5U,106878735,9822577,77069796,355325,290292, -   ,13650, -   ,341675,143967,5.7,28.3, -   ,17,0.2,2,220.5,21.7,12,20.5, -   ,53.5,36.2,21.8, -   , -   ,9.8,27.7,16.3,0.3,0.8,0.8, -   ,28.2,14.2,22.3,13,49.5,3,1.3,39,1,62,32.3,21,,,,,,,47
71940,New York University,Yes,New York,NY,5U,479080000,22825000,344570000,209104728,6082679, -   ,2360835,214133,206743893,1240642,68,182.8,3,94.3,0.2,1.5,391.7,58.5,17,165.2,3,69.3,27.3,41,8, -   ,24,3.8,90.5,1.8,8.8,4,7.3,61.2,20.8,12.7,11.3,44.8,8,8,45,3,69,28.3,89,36,8550405,4468707,4081698,3212500,156961,100
71954,North Carolina State University,No,Raleigh,NC,5U,468293000,52836000,199862000,7601068,1936198, -   ,2362469,28477,5238599,2119117,38,103.5,10.3,65.2,8.5,11.6,596.3,53.2,19.3,225,1.2,157.8,114,68.5,3.7,4.7,49.2,33.8,43,5.7,7,6.5,2.8,119.3,43.5,47.3,11.5,102.3,8,13.5,38,1,39,35.4,29,32.8,451949,232765,219184,65125,16747,31
71959,Northern Arizona University,No,Flagstaff,AZ,5U,35206000,623000,20285000,69365,81864, -   ,62982, -   ,6383,5542,1.8,9.8,0.4,4.8,0.4,0.3,6.5,1.8,0.5,17.8, -   ,1.8,0.7,0.5, -   , -   , -   ,0.3,4,0.3,0.3,0.2, -   ,0.8, -   ,0.3,0.5,0.8,0.3,   ,34,1,65,41.3,39,23.9,70317,37093,33224,4262,3667,39
71963,Northwestern University,Yes,Evanston,IL,5U,507346430,34424176,400287639,62278647,3003295,3145000,1984766,29869529,57148881,1127917,74.8,217.7,27,190.2,0.5,3.8,235.3,33.2,12.3,193.5,1.2,103.7,61,30.5,3.3, -   ,18.2,9.7,123.5,1.2,9.2,8,3.5,75.2,10.2,15.2,14.2,40.2,10,14,45,3,89,24.4,51,36.8,75523,41377,34146,15003,2058,76
71985,Ohio State University,Yes,Columbus,OH,5U,961996935,119271999,467746116,2459946,3244726,76892,1211257,274884,1171797,617569,44.2,169.3,6.7,151.8,26,2.6,196.5,35,25.8,285.8, -   ,73.7,23,38.8,5.5, -   ,13,12.8,105.5,4.3,9,6.7,8.8,61.2,19,23.2,9.5,51.7,12,20.5,43,1,48,47.4,30,32.5,849067,435086,413981,101129,40238,
71986,Ohio University,Yes,Athens,OH,5U,61078000,6118000,17303000,10593162,796249, -   ,125000,8875,10468162,431565,10.8,29.8,11,54.8,25,0.7,16.7,5.5,1.3,28.8,1,4.7,3.7,1.3,0.3,78, -   ,1,18.8,0.8,1.5,1.5,0.5,3.3,0.7,0.7,0.7,2,2,3,41,1,63,33.4,,,,,,,,56
72002,Oregon Health & Science University,Yes,Portland,OR,5U,329855530,42504058,265595093,1552033,892150, -   ,1159684,38684,392349,697568,21,80.3,2.5,36.3,1.5,2,366.8,34.3,12.8,120.8, -   ,173.2,36.6,57.5,3.3,0.4,44.7,7.8,32.3,1.8,3,2.5,1,45.8,11.2,50,4.2,65.3,4.9,17.4,42,1,83,57.7,49,36.7,632187,318671,313516,86041,29940,
