ID_renamed,Act Lic,AirQualityIndex,Airports,Bike Score,Crime Rate,Cum Op St-Ups,Excl Lic/Opt.,Female Population,For. Pat App Fld,Foreign-born,Inv Dis Rec,Iss US Pat,Lic $1mm+,Lic Gen Inc,Lic Gen Run Roy,Lic Iss,Lic w Equ,Male Population,Median Age,NEWCOMPSUPP,New Pat App Fld,New Prod,Non-Excl Lic/Opt,Number of Veterans,Opt Iss,Pro Pat App Fld,St-Ups Cld,St-Ups Formed,St-Ups in Home St,St-Ups w Equ,Tot Discl Lic,Tot Lic Lg Co,Tot Lic Sm Co,Tot Lic St-Ups,Tot Lic/Opt Exe,Tot Pat App Fld,Total Population,Transit Score,Util Pat App Fld,[ID],City,Fed Res Exp,Gross Lic Inc,INSTITUTION,INSTTYPE,Ind Res Exp,Leg Fees,Lic FTEs,Lic Inc Equ,Lic Inc Other,Lic Inc Pd Oth,Lic Inc Run Roy,MEDSCHL,Oth FTEs,Reimb Leg Fee,STATE,Tot Res Exp
85917,35,43,1,48,47.43,7,5,435086,0,101129,77,7,0,9,0,8,1,413981,32.5,0,39,2,3,40238,1,0,0,1,1,1,11,2,4,3,9,67,849067,30,0,85917,Columbus,48318382,835000,Nationwide Children's Hospital,4HRI,16800000,818215,4,0,835000,53655,0,No,3,615661,OH,117500000
85951,34,44,1,56,14.580000000000002,10.6,4.8,58251,0,11361,36.2,7.5,0,19.6,3.5,6.2,1,54866,37.8,2.8,25.2,1,1.4,6512,5.2,27.5,0.25,1,1.25,5.2,15.6,3.8,5.2,2.4,11.4,32.5,113117,,0,85951,Golden,39400000,121217,Colorado School of Mines,5U,24500000, , , , , , ,No, , ,CO,63900000
86076,404.5,37,1,57,24.77,40.4,17,,40.166666666666664,,158.83333333333334,31,1.1666666666666667,196.16666666666666,133.5,45.833333333333336,4.833333333333333,,,0,174.16666666666666,4.666666666666667,28.833333333333332,,8.166666666666666,102.16666666666667,1.2,6,5.166666666666667,2.6666666666666665,83,25.666666666666668,18,10.333333333333334,54,154,,38,31.833333333333332,86076,Charlottesville,203401000,2417134,University of Virginia Patent Foundation,5U,17404000,1828038,5,0,884779,24571,1532355,Yes,9,1142951,VA,373218000
89406,27.166666666666668,45,1,99,23.76,0.6666666666666666,0.8333333333333334,108181,0.16666666666666666,13409,19.5,4.833333333333333,0,13.666666666666666,1,19.333333333333332,0,110099,34.9,0,11.166666666666666,1.2,18.5,16004,0.6666666666666666,5,0,0.16666666666666666,0.16666666666666666,0,4.333333333333333,10.333333333333334,9,0.6666666666666666,20,12.5,218280,44,6.333333333333333,89406,Boise,18295799,21475,Boise State University,5U,247425,114126,1,0,20573,0,902,No,0,0,ID,31341544
92609,446,42,1,72,57.71,26.833333333333332,12,340365,0,88193,172,38.333333333333336,2,169.83333333333334,49,65.33333333333333,2.5,314231,34.1,8.8,100.66666666666667,4.2,53.333333333333336,27942,7,98.16666666666667,1.8333333333333333,4.166666666666667,3,1.5,64.33333333333333,16,50.333333333333336,6,72.33333333333333,200.5,654596,74,2.5,92609,Nashville,401737625,7966115,Vanderbilt University,5U,35240162,2384371,11.5,1850793,3465064,81155,2650258,Yes,12.5,1086276,TN,614917042
92614,166.16666666666666,73,3,70,26.49,37,18.833333333333332,74534,0.16666666666666666,40779,376.1666666666667,156,1.3333333333333333,91.66666666666667,39.833333333333336,33.5,23.833333333333332,67712,37.6,1.2,564.5,,14.666666666666666,4618,17.833333333333332,425.8333333333333,1,9.833333333333334,7.666666666666667,9.333333333333334,256.6666666666667,13.666666666666666,27.833333333333332,9.833333333333334,51.333333333333336,642.5,142246,51,138.5,92614,Pasadena,343522024,19069771,California Institute of Technology,5U,15980373,6224584,6,2171116,14502275,216126,2396380,No,14,2240954,CA,359532397
92615,78.66666666666667,35,3,59,25.11,20.166666666666668,4.166666666666667,39306,0,22292,68.66666666666667,24.5,1.1666666666666667,42,16,8.5,1.5,41028,31,0,36,1,4.333333333333333,2103,3,35.166666666666664,1.6666666666666667,3.3333333333333335,2.1666666666666665,1,39.666666666666664,3.3333333333333335,4.833333333333333,3.3333333333333335,11.5,93.66666666666667,80334,48,0.8333333333333334,92615,Medford,129199539,3540106,Tufts University,5U,8786008,3956680,6,0,318203,1275,3221903,Yes,1,1885798,MA,171055998
92617,375.3333333333333,45,3,69,28.290000000000003,12.333333333333334,9,4468707,0,3212500,108.33333333333333,19.666666666666668,8.666666666666666,150.66666666666666,86.33333333333333,44,3,4081698,36,0,61,,35,156961,0.6666666666666666,60.666666666666664,1.3333333333333333,2,0,2,46.666666666666664,19.666666666666668,22.333333333333332,2.6666666666666665,44.666666666666664,137.33333333333334,8550405,89,0.3333333333333333,92617,New York,144355831,201905202,Memorial Sloan Kettering Cancer Center,4HRI,56021602,6210975,7,28122980,17269083,261835,156513139,No,11,919531,NY,589266476
92620,111.16666666666667,41,3,92,57.97,6.5,2.8333333333333335,352523,6.666666666666667,95117,51.666666666666664,13.333333333333334,1.8333333333333333,29.666666666666668,13.666666666666666,6.333333333333333,0.3333333333333333,319705,33.8,0,51.666666666666664,0.5,3.5,25963,2.6666666666666665,30.833333333333332,0.5,1.5,0,0.5,10,1.6666666666666667,5.166666666666667,2.1666666666666665,9,62,672228,100,14.166666666666666,92620,Washington,97411935,6817911,Georgetown University,5U,6975913,1190636,5,0,248933,21605,6568978,Yes,4,232687,DC,130213594
92621,433,40,3,42,60.54,90.16666666666667,22.5,239915,14.333333333333334,32016,351,80.5,0.5,63.833333333333336,33.333333333333336,51.5,2.3333333333333335,223960,33.8,0,240.5,3.8,29,18572,14,203.83333333333334,3.5,9.666666666666666,7.833333333333333,2,96.33333333333333,33.666666666666664,14.833333333333334,17,65.5,394.5,463875,44,22.333333333333332,92621,Atlanta,521900000,1685817,Georgia Institute of Technology,5U,193800000,3152668,6,134770,921330,9084,629717,No,4,510564,GA,715700000
