YEAR,[ID],INSTITUTION,MEDSCHL,City,STATE,INSTTYPE,Tot Res Exp,Tot Lic/Opt Exe,Fed Res Exp,Ind Res Exp,Leg Fees,Reimb Leg Fee,Act Lic,Excl Lic/Opt.,Lic w Equ,Tot Lic Lg Co,Tot Lic Sm Co,Tot Lic St-Ups,Tot Discl Lic,Non-Excl Lic/Opt,Lic Iss,Opt Iss,NEWCOMPSUPP,Lic Inc Equ,Lic $1mm+,Lic Gen Inc,Lic Gen Run Roy,Lic Inc Other,Lic Inc Pd Oth,Gross Lic Inc,Lic Inc Run Roy,Inv Dis Rec,New Pat App Fld,For. Pat App Fld,Pro Pat App Fld,Util Pat App Fld,Tot Pat App Fld,Iss US Pat,New Prod,Cum Op St-Ups,St-Ups Cld,St-Ups in Home St,St-Ups Formed,St-Ups w Equ,Lic FTEs,Oth FTEs,Transit Score,Bike Score,AirQualityIndex,Airports,Crime Rate,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born
2014,71441,East Carolina University,Yes,Greenville,NC,5U,29925000,5,17409000,2221000,338654,12944,17,3,1,1,2,2,4,1,4,1,0,0,0,7,5,67730,0,134910,67180,6,4,1,3,0,10,4,1,5,0,1,1,1,1,4,,43,36,1,46.95,26.2,39897,50691,90588,4283,4183
2013,71441,East Carolina University,Yes,Greenville,NC,5U,38271000,1,18227000,1754000,274497,12550,13,1,1,0,0,1,1,0,1,0,0,0,0,5,4,6225,0,73878,67653,10,3,0,2,1,10,2,1,3,0,1,1,1,1,3,,43,36,1,46.95,26.2,39897,50691,90588,4283,4183
2012,71441,East Carolina University,Yes,Greenville,NC,5U,31990000,3,17838000,4855000,231559,20970,12,1,0,1,2,0,1,2,3,0,0,0,0,4,4,0,0,88079,88079,12,3,0,2,1,14,4,,2,0,0,0,0,1,4,,43,36,1,46.95,26.2,39897,50691,90588,4283,4183
2011,71441,East Carolina University,Yes,Greenville,NC,5U,28995000,1,19675000,2364000,310138,81821,19,1,0,1,0,0,1,0,1,0,0,0,0,7,5,455253,0,557354,102101,16,8,3,5,0,13,4,,4,2,0,0,0,4,2,,43,36,1,46.95,26.2,39897,50691,90588,4283,4183
2010,71441,East Carolina University,Yes,Greenville,NC,5U,23995000,2,16113000,2551000,261818,129335,18,1,0,2,0,0,2,1,2,0,0,0,0,6,4,188077,0,293901,105824,15,2,0,2,0,6,2,,4,0,0,0,0,3,1,,43,36,1,46.95,26.2,39897,50691,90588,4283,4183
2013,71464,Embry-Riddle Aeronautical University,No,Daytona Beach,FL,5U,13877426,0,11455846,116160,156600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,3,0,9,0,0,0,0,0,0,0,1,0,31,51,30,1,69.82,,,,,,
2015,71465,Emory University,Yes,Atlanta,GA,5U,478333305,41,332217396,41953278,2343657,952215,303,12,1,10,26,5,45,25,37,4,0,0,2,106,73,2666797,192931,7948859,5282062,233,83,0,83,0,176,37,14,38,0,1,5,3, , ,44,42,40,3,60.54,33.8,223960,239915,463875,18572,32016
2014,71465,Emory University,Yes,Atlanta,GA,5U,462142975,40,366869349,44218116,2664211,1311112,304,8,2,20,17,3,27,28,36,4,0,39303,3,114,72,11063330,135938,14085741,2983108,225,71,0,71,0,196,35,4,33,0,2,3,1,8,9,44,42,40,3,60.54,33.8,223960,239915,463875,18572,32016
2013,71465,Emory University,Yes,Atlanta,GA,5U,493567915,51,407537820,36137905,2657200,1372763,280,8,2,22,26,3,56,40,48,3,0,0,1,134,77,909214,108720,4124413,3215199,213,107,0,107,0,223,18,9,30,0,2,3,1,8,9,44,42,40,3,60.54,33.8,223960,239915,463875,18572,32016
2012,71465,Emory University,Yes,Atlanta,GA,5U,490439552,44,396065205,32261275,3373653,2095021,295,5,2,23,15,6,55,36,41,3,0,15114149,3,137,66,848216,345954,25425749,9463384,244,72,0,72,0,172,19,9,27,3,4,6,2,8,9,44,42,40,3,60.54,33.8,223960,239915,463875,18572,32016
