[ID],INSTITUTION,City,State,Transit Score,Bike Score,AirQualityIndex,Airports,Crime Rate,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born
92614,California Institute of Technology,Pasadena,CA,51,70,73,3,26.49,37.6,67712,74534,142246,4618,40779
99020,University of West Florida,Pensacola,FL,,47,27,1,64.85,,,,,,
80658,Children's Hospital of Philadelphia,Philadelphia,PA,67,67,42,3,57.59,34.1,741270,826172,1567442,61995,205339
92804,Drexel University,Philadelphia,PA,67,67,42,3,57.59,34.1,741270,826172,1567442,61995,205339
95063,Fox Chase Cancer Center,Philadelphia,PA,67,67,42,3,57.59,34.1,741270,826172,1567442,61995,205339
20160310,Temple University,Philadelphia,PA,67,67,42,3,57.59,34.1,741270,826172,1567442,61995,205339
72299,Thomas Jefferson University,Philadelphia,PA,67,67,42,3,57.59,34.1,741270,826172,1567442,61995,205339
72416,University of Pennsylvania,Philadelphia,PA,67,67,42,3,57.59,34.1,741270,826172,1567442,61995,205339
95279,Wistar Institution,Philadelphia,PA,67,67,42,3,57.59,34.1,741270,826172,1567442,61995,205339
71318,Carnegie Mellon University,Pittsburgh,PA,55,55,41,1,37.79,32.9,149690,154695,304385,17728,28187
2000007,Duquesne University,Pittsburgh,PA,55,55,41,1,37.79,32.9,149690,154695,304385,17728,28187
100267,University of Pittsburgh,Pittsburgh,PA,55,55,41,1,37.79,32.9,149690,154695,304385,17728,28187
80648,Idaho State University,Pocatello,ID,,42,38,1,39.28,,,,,,
72002,Oregon Health & Science University,Portland,OR,49,83,42,1,57.66,36.7,313516,318671,632187,29940,86041
72060,Portland State University,Portland,OR,49,83,42,1,57.66,36.7,313516,318671,632187,29940,86041
20140302,"Providence Health & Services,Oregon",Portland,OR,49,83,42,1,57.66,36.7,313516,318671,632187,29940,86041
72068,Princeton University,Princeton,NJ,,88,47,3,11.12,33.3,42581,41650,84231,2604,20428
92669,Brown University,Providence,RI,47,61,37,1,51.28,29.9,89090,90114,179204,4933,53532
92737,Brigham Young University,Provo,UT,33,63,42,1,25.52,23.6,56231,59027,115258,2177,10925
95274,Washington State University Research Foundation,Pullman,WA,,39,38,1,24.24,,,,,,
71954,North Carolina State University,Raleigh,NC,29,39,38,1,35.35,32.8,219184,232765,451949,16747,65125
72596,University of Nevada at Reno,Reno,NV,24,52,47,1,57.31,35.7,122292,119151,241443,17089,37070
72501,Virginia Commonwealth University,Richmond,VA,,51,39,1,55.85,33.6,104793,115496,220289,12538,15741
83462,Mayo Foundation for Medical Education and Research,Rochester,MN,,57,39,1,21.22,35,54934,57282,112216,6888,17763
95148,Rochester Institution of TechNology,Rochester,NY,41,60,40,1,62.95,31.4,100135,109673,209808,7288,17735
72425,University of Rochester,Rochester,NY,41,60,40,1,62.95,31.4,100135,109673,209808,7288,17735
80839,Louisiana Tech University,Ruston,LA,,28,37,1,44.79,,,,,,
72448,University of Utah,Salt Lake City,UT,44,74,43,1,52.8,32.1,98364,94296,192660,6829,32166
72134,Salk Institution for Biological Studies,San Diego,CA,37,43,60,1,26.89,34.5,693826,701081,1394907,92489,373842
72140,San Diego State University,San Diego,CA,37,43,60,1,26.89,34.5,693826,701081,1394907,92489,373842
95021,Sanford-Burnham Medical Research Institute,San Diego,CA,37,43,60,1,26.89,34.5,693826,701081,1394907,92489,373842
95156,The Scripps Research Institution,San Diego,CA,37,43,60,1,26.89,34.5,693826,701081,1394907,92489,373842
71510,Fred Hutchinson Cancer Research Center,Seattle,WA,60,71,40,1,47.97,35.5,345659,338784,684443,29364,119840
95260,University of Washington/Wash. Research Foundation,Seattle,WA,60,71,40,1,47.97,35.5,345659,338784,684443,29364,119840
72407,University of Notre Dame,South Bend,IN,,58,42,1,63.78,32.4,50483,53274,103757,3708,8779
72513,Washington University in St. Louis,St. Louis,MO,43,58,45,1,76.01,35,153026,162659,315685,17060,21802
72222,Stanford University,Stanford,CA,40,78,52,3,11.94,33.5,42493,37945,80438,1376,31857
71869,Mississippi State University,Starkville,MS,,33,36,1,34.84,,,,,,
72031,Pennsylvania State University,State College,PA,41,78,39,1,24.29,,,,,,
92788,Oklahoma State University,Stillwater,OK,,61,45,1,28.73,,,,,,
72358,University of Connecticut,Storrs,CT,,45,36,1,10.47,,,,,,
71501,Florida State University,Tallahassee,FL,30,45,26,1,59.94,26.2,89390,100504,189894,9575,16720
71580,H. Lee Moffitt Cancer Center & Research Institute,Tampa,FL,31,55,33,1,48.43,35.3,175517,193511,369028,20636,58795
72431,University of South Florida,Tampa,FL,31,55,33,1,48.43,35.3,175517,193511,369028,20636,58795
71180,Arizona State University,Tempe,AZ,45,75,55,1,44.71,28.8,91350,84476,175826,7058,26620
92730,University of Toledo,Toledo,OH,,46,43,1,61.12,36.1,135455,144323,279778,15286,9257
95142,Rensselaer Polytechnic Institution,Troy,NY,41,42,33,1,21.77,32.8,47627,50825,98452,3643,11948
95144,Research Corporation TechNologies,Tucson,AZ,35,66,49,1,54.47,33.6,264893,266781,531674,38182,82220
72345,University of Arizona,Tucson,AZ,35,66,49,1,54.47,33.6,264893,266781,531674,38182,82220
20070261,University of Alabama,Tuscaloosa,AL,,37,35,1,47.41,29.1,47293,51045,98338,3647,4706
95202,University of IlliNois Urbana Champaign,Urbana-Champaign,IL,49,71,43,1,40.97,,,,,,
20000253,University of South Dakota,Vermillion,SD,,74,28,1,25.5,,,,,,
71212,Baylor University,Waco,TX,,39,44,1,51.62,29.3,63452,68890,132342,10716,14235
80010,Brandeis University,Waltham,MA,32,47,35,3,20.33,42.3,41985,46824,88809,1814,21692
92620,Georgetown University,Washington,DC,100,92,41,3,57.97,33.8,319705,352523,672228,25963,95117
96045,The Catholic University of America,Washington,DC,100,92,41,3,57.97,33.8,319705,352523,672228,25963,95117
72075,Purdue Research Foundation,West Lafayette,IN,44,63,42,1,18.22,33.5,34313,36857,71170,5045,5697
20160309,Wichita State University,Wichita,KS,20,44,43,1,56.21,34.6,192354,197601,389955,23978,40270
72506,Wake Forest University,Winston-Salem,NC,,29,38,1,55.23,34.7,112520,128712,241232,14521,24302
